Epoch,NRC1,NRC2,,Train Loss,Test Loss
1,0.544046402,0.484510034,,0.000106754,6.74E-05
2,0.438248843,0.426839024,,4.17E-05,6.07E-05
3,0.361049742,0.386955887,,3.79E-05,6.64E-05
4,0.298383862,0.357998818,,3.57E-05,6.47E-05
5,0.243417025,0.33663553,,3.34E-05,5.70E-05
6,0.199247777,0.320339859,,3.21E-05,5.11E-05
7,0.164152101,0.30713588,,3.16E-05,5.37E-05
8,0.130532846,0.296867996,,2.97E-05,5.51E-05
9,0.110422574,0.288042665,,2.86E-05,5.52E-05
10,0.088736959,0.280259699,,2.71E-05,5.52E-05
11,0.073386006,0.271387935,,2.61E-05,5.09E-05
12,0.060646467,0.263178766,,2.49E-05,5.32E-05
13,0.049198516,0.254065782,,2.32E-05,4.55E-05
14,0.041189708,0.245100707,,2.24E-05,5.11E-05
15,0.034190804,0.235863879,,2.14E-05,4.52E-05
16,0.026672905,0.215661615,,2.04E-05,4.68E-05
17,0.021548185,0.1935868,,1.90E-05,4.94E-05
18,0.018246453,0.155376444,,1.87E-05,4.87E-05
19,0.014459471,0.152157242,,1.83E-05,4.69E-05
20,0.013129503,0.160253035,,1.65E-05,4.41E-05
21,0.009667334,0.138942125,,1.59E-05,5.63E-05
22,0.006964613,0.143163493,,1.62E-05,5.14E-05
23,0.005696218,0.132561492,,1.48E-05,4.84E-05
24,0.004988059,0.142203657,,1.48E-05,4.49E-05
25,0.003921823,0.138928609,,1.44E-05,4.60E-05
26,0.002326671,0.154636937,,1.42E-05,5.31E-05
27,0.001506575,0.135774816,,1.36E-05,4.36E-05
28,0.001061617,0.074588656,,1.37E-05,4.81E-05
29,0.000923337,0.012631717,,1.43E-05,4.65E-05
30,0.000507495,0.155642024,,1.45E-05,4.73E-05
31,0.000501823,0.154520028,,1.57E-05,4.66E-05
32,0.00030754,0.165217571,,1.64E-05,4.35E-05
33,0.00022712,0.14274185,,1.78E-05,4.72E-05
34,0.000352769,0.155078894,,1.84E-05,4.08E-05
35,0.000267833,0.178814857,,1.91E-05,4.79E-05
36,0.000396106,0.153777644,,1.99E-05,4.78E-05
37,0.00020684,0.123197645,,2.08E-05,4.29E-05
38,0.000182392,0.121901384,,2.12E-05,4.43E-05
39,0.000199045,0.126663898,,2.24E-05,4.42E-05
40,0.000172526,0.131670533,,2.25E-05,4.32E-05
41,0.000131961,0.123209976,,2.34E-05,4.78E-05
