Epoch,NRC1,NRC2,,Train Loss,Test Loss
1,12.35603809,210.1472321,,0.000108954,7.13408E-05
2,8.234142303,138.7202301,,4.44E-05,6.723E-05
3,5.465324879,92.50592041,,4.01E-05,6.28623E-05
4,3.768851757,62.660923,,3.76E-05,6.63237E-05
5,2.618308783,42.60496902,,3.52E-05,5.62954E-05
6,1.745562553,27.95985222,,3.38E-05,5.57976E-05
7,1.18895328,18.42022514,,3.33E-05,5.43515E-05
8,0.926344037,12.74005318,,3.18E-05,5.59045E-05
9,0.591232479,8.190670013,,3.11E-05,5.73512E-05
10,0.371050745,5.389462948,,3.05E-05,5.65261E-05
11,0.266131908,3.642997265,,2.99E-05,5.12334E-05
12,0.201888427,2.127487183,,2.95E-05,5.20815E-05
13,0.133820012,0.878608525,,2.88E-05,4.86976E-05
14,0.11696364,0.350942194,,2.85E-05,5.30573E-05
15,0.156998351,0.259547591,,2.84E-05,4.77513E-05
16,0.091803491,0.266506225,,2.76E-05,4.77453E-05
17,0.050610919,0.44038552,,2.67E-05,5.21914E-05
18,0.01303151,0.748080492,,2.68E-05,5.25788E-05
19,0.015167988,0.02121231,,2.68E-05,4.86104E-05
20,0.010847806,0.0217306,,2.63E-05,4.70069E-05
21,0.003110518,0.018239373,,2.54E-05,5.6522E-05
22,0.000330463,0.014730359,,2.60E-05,5.07947E-05
23,4.00983E-06,0.009851729,,2.55E-05,5.05933E-05
24,5.31732E-09,0.006289097,,2.56E-05,4.65119E-05
25,2.57439E-11,0.004224726,,2.52E-05,4.86717E-05
26,1.52257E-13,0.002828097,,2.50E-05,5.54283E-05
27,1.31908E-15,0.00189067,,2.45E-05,4.58853E-05
28,2.78664E-17,0.001263581,,2.40E-05,5.11778E-05
29,1.6796E-17,0.000844001,,2.43E-05,4.95435E-05
30,1.31726E-18,0.000563783,,2.39E-05,4.9914E-05
31,1.65286E-19,0.000376667,,2.34E-05,4.72196E-05
32,3.73516E-20,0.000251286,,2.30E-05,4.61703E-05
33,4.07937E-21,0.000167636,,2.34E-05,5.05924E-05
34,5.39204E-22,0.000111946,,2.35E-05,4.23473E-05
35,2.27512E-22,7.46744E-05,,2.30E-05,5.08292E-05
36,1.82298E-24,4.98185E-05,,2.25E-05,4.99225E-05
37,4.81606E-32,3.32562E-05,,2.26E-05,4.50606E-05
38,8.02297E-32,2.22029E-05,,2.23E-05,4.90049E-05
39,2.87589E-32,1.48103E-05,,2.25E-05,4.73249E-05
40,1.55316E-32,9.88107E-06,,2.19E-05,4.63275E-05
41,1.37505E-32,6.59949E-06,,2.23E-05,4.97218E-05
42,1.20754E-32,4.40397E-06,,2.22E-05,5.00073E-05
43,6.78247E-33,2.93352E-06,,2.19E-05,4.50632E-05
44,5.87556E-33,1.95953E-06,,2.16E-05,4.21967E-05
45,2.77207E-33,1.31041E-06,,2.15E-05,4.64081E-05
46,3.24934E-33,8.76411E-07,,2.12E-05,4.79083E-05
47,1.1757E-33,5.85543E-07,,2.16E-05,4.73219E-05
