Epoch,NRC1,NRC2,NRC3,Train Loss,Test Loss
1,0.361412942,0.794499934,0.086320616,0.174038713,1.085651517
2,0.226896018,0.777966022,0.046807293,0.112431895,0.112526641
3,0.15713802,0.745402515,0.028196314,0.092424121,0.111965712
4,0.149019659,0.733603179,0.020407189,0.075753413,0.097265257
5,0.122654065,0.800924838,0.010574576,0.063132862,0.10193575
6,0.078820892,0.831721485,0.004388322,0.058246516,0.106874109
7,0.068007566,0.842066228,0.00041774,0.051489945,0.094156625
8,0.058442328,0.798996925,0.000291016,0.048339828,0.083880403
9,0.043818533,0.896313369,8.34E-05,0.045284248,0.068629476
10,0.030401412,0.776068568,0.000141823,0.043238903,0.06598806
11,0.029676808,0.732442975,0.000127115,0.041791222,0.101813225
12,0.026000435,0.841073215,0.000238288,0.039742158,0.08067994
13,0.020218333,0.757870734,0.000177031,0.038767653,0.073967849
14,0.019946909,0.650381982,5.27E-05,0.036708072,0.077422851
15,0.012949687,0.537338436,0.000248734,0.035859583,0.068816996
16,0.011457539,0.554760396,0.000191173,0.034613279,0.07845078
17,0.01229493,0.67286402,0.000274853,0.03545864,0.061688893
18,0.010058915,0.452741504,0.000126828,0.033053788,0.063441945
19,0.008215615,0.452115655,1.30E-05,0.033743023,0.068807752
20,0.009033355,0.503238022,3.49E-05,0.032133372,0.06654613
21,0.006176326,0.336990237,0.000181318,0.032654379,0.084279323
22,0.006994587,0.293678373,5.44E-05,0.031103278,0.071125121
23,0.004710894,0.393326342,0.000113003,0.031011827,0.076428334
24,0.006554746,0.342299253,3.13E-06,0.031382846,0.068493329
25,0.004851046,0.244287461,0.000175945,0.030448346,0.079229286
26,0.005174693,0.219115496,0.000134314,0.029855058,0.064660452
27,0.004226544,0.24527584,1.04E-05,0.027689543,0.070655409
28,0.005171555,0.193993509,5.15E-05,0.029388568,0.07723952
29,0.004888968,0.135253683,8.60E-05,0.029481428,0.076373359
30,0.004995605,0.30176264,4.83E-05,0.029822098,0.061727474
31,0.004280343,0.180563718,2.18E-05,0.026823424,0.086881781
32,0.004988505,0.176366776,0.000244227,0.028565739,0.072806764
33,0.004596673,0.247101203,8.34E-05,0.02897218,0.063079285
34,0.00391301,0.281380236,3.20E-05,0.030041424,0.066837725
35,0.004762355,0.278489649,6.03E-05,0.026679659,0.063961779
36,0.005377978,0.118220069,5.50E-05,0.027248357,0.056980163
37,0.005083747,0.188700452,0.000152255,0.027525218,0.069499971
38,0.004275226,0.127414837,0.000130864,0.026735591,0.068458333
39,0.005012557,0.137042314,0.000204276,0.02758999,0.060536199
40,0.003871688,0.251812994,5.32E-05,0.027216104,0.073105436
41,0.004377353,0.155114293,0.000239068,0.027773539,0.088335823
42,0.004937786,0.158232585,0.000216287,0.027608622,0.073999238
43,0.003592737,0.140737548,7.36E-05,0.024637128,0.057783297
44,0.003919267,0.154913694,0.000134758,0.024525243,0.087930388
45,0.004570475,0.159314036,7.66E-05,0.025095182,0.064631324
46,0.003835048,0.169155419,0.000414931,0.024404558,0.079274793
47,0.004383175,0.238917232,2.23E-05,0.024765557,0.067222982
48,0.003997103,0.127815992,0.000231739,0.024412547,0.07169073
49,0.003728153,0.243559748,0.000218388,0.025643988,0.067040113
50,0.00471052,0.147037134,0.000206002,0.026960174,0.072953605
