gamma,NRC3
0.000155867,0.004465264
0.000311891,0.004119336
0.000467914,0.003854908
0.000623938,0.003632828
0.000779961,0.003437954
0.000935985,0.003262528
0.001092008,0.003101958
0.001248032,0.002953262
0.001404055,0.002814385
0.001560079,0.002683842
0.001716102,0.002560528
0.001872126,0.0024436
0.002028149,0.002332403
0.002184173,0.002226421
0.002340196,0.002125254
0.00249622,0.002028582
0.002652243,0.001936159
0.002808267,0.001847799
0.00296429,0.001763369
0.003120314,0.001682781
0.003276337,0.001605989
0.00343236,0.001532987
0.003588384,0.001463806
0.003744408,0.001398513
0.003900431,0.001337207
0.004056455,0.001280019
0.004212478,0.001227107
0.004368501,0.001178654
0.004524525,0.001134856
0.004680548,0.001095917
0.004836572,0.001062038
0.004992595,0.001033398
0.005148619,0.001010145
0.005304642,0.000992376
0.005460666,0.000980125
0.005616689,0.000973353
0.005772713,0.000971944
0.005928736,0.000975707
0.00608476,0.000984384
0.006240783,0.000997663
0.006396807,0.001015196
0.00655283,0.001036611
0.006708854,0.00106153
0.006864877,0.001089581
0.0070209,0.001120408
0.007176924,0.00115368
0.007332948,0.001189088
0.007488971,0.001226356
0.007644995,0.001265232
0.007801018,0.001305495
0.007957041,0.001346948
0.008113065,0.001389417
0.008269088,0.00143275
0.008425112,0.001476815
0.008581135,0.001521493
0.008737159,0.001566685
0.008893183,0.0016123
0.009049206,0.001658262
0.00920523,0.001704504
0.009361253,0.001750965
0.009517277,0.001797596
0.0096733,0.001844351
0.009829324,0.00189119
0.009985346,0.001938079
0.01014137,0.001984989
0.010297393,0.002031893
0.010453417,0.002078767
0.010609441,0.002125592
0.010765464,0.002172352
0.010921488,0.002219028
0.011077511,0.00226561
0.011233535,0.002312083
0.011389558,0.00235844
0.011545582,0.00240467
0.011701605,0.002450766
0.011857629,0.002496721
0.012013652,0.002542529
0.012169676,0.002588186
0.012325699,0.002633687
0.012481722,0.002679028
0.012637746,0.002724207
0.012793769,0.00276922
0.012949793,0.002814067
0.013105816,0.002858745
0.01326184,0.002903252
0.013417863,0.002947588
0.013573887,0.002991752
0.01372991,0.003035743
0.013885934,0.003079562
0.014041957,0.003123207
0.014197981,0.00316668
