gamma,NRC3,,
0.000155868,0.009922601,,
0.000311891,0.009567515,,
0.000467915,0.009294918,,
0.000623938,0.009065006,,
0.000779962,0.00886237,,
0.000935985,0.008679107,,
0.001092009,0.008510522,,
0.001248033,0.008353558,,
0.001404056,0.008206093,,
0.00156008,0.008066577,,
0.001716103,0.007933846,,
0.001872127,0.007806989,,
0.00202815,0.00768529,,
0.002184174,0.00756816,,
0.002340198,0.007455118,,
0.002496221,0.007345765,,
0.002652245,0.007239755,,
0.002808268,0.007136799,,
0.002964292,0.007036648,,
0.003120315,0.00693908,,
0.003276339,0.006843904,,
0.003432363,0.006750953,,
0.003588386,0.006660075,,
0.00374441,0.006571139,,
0.003900433,0.006484021,,
0.004056457,0.006398614,,
0.004212481,0.006314823,,
0.004368504,0.006232556,,
0.004524528,0.006151733,,
0.004680551,0.006072282,,
0.004836575,0.005994132,,
0.004992598,0.005917222,,
0.005148622,0.005841493,,
0.005304645,0.005766894,,
0.005460669,0.005693374,,
0.005616692,0.005620887,,
0.005772716,0.005549391,,
0.005928739,0.005478846,,
0.006084763,0.005409215,,
0.006240787,0.005340462,,
0.006396811,0.005272555,,
0.006552834,0.005205464,,
0.006708858,0.005139159,,
0.006864881,0.005073613,,
0.007020905,0.0050088,,
0.007176928,0.004944697,,
0.007332952,0.00488128,,
0.007488975,0.004818528,,
0.007644999,0.004756419,,
0.007801022,0.004694935,,
0.007957046,0.004634057,,
0.008113069,0.004573767,,
0.008269093,0.004514048,,
0.008425117,0.004454884,,
0.00858114,0.00439626,,
0.008737164,0.004338162,,
0.008893187,0.004280575,,
0.009049211,0.004223486,,
0.009205234,0.004166882,,
0.009361258,0.004110751,,
0.009517281,0.004055081,,
0.009673305,0.003999862,,
0.009829328,0.003945083,,
0.009985352,0.003890732,,
0.010141376,0.0038368,,
0.0102974,0.003783278,,
0.010453423,0.003730156,,
0.010609447,0.003677426,,
0.010765471,0.003625079,,
0.010921494,0.003573106,,
0.011077518,0.003521501,,
0.011233541,0.003470255,,
