Epoch,WD0_NRC1,WD0_NRC2,WD0_NRC3,,WD5e-4_NRC1,WD5e-4_NRC2,WD5e-4_NRC3,,WD5e-3_NRC1,WD5e-3_NRC2,WD5e-3_NRC3,,WD5e-2_NRC1,WD5e-2_NRC2,WD5e-2_NRC3,,WD1e-1_NRC1,WD1e-1_NRC2,WD1e-1_NRC3
1,37.54360962,105.4524292,0.114999533,,9.483330727,8.749687958,0.099360526,,15.00656128,18.58428345,0.108112596,,11.00469303,12.33786087,0.095338479,,9.237275124,2.467572174,0.495338479
2,9.803512573,10.15899811,0.083677232,,8.544249535,11.02852631,0.072758831,,9.431362152,11.99579697,0.077764831,,6.609181404,8.192705536,0.058378842,,6.073896885,1.638541107,0.258378842
3,8.304428101,11.16965637,0.068156421,,7.60629797,10.74354019,0.057213426,,8.508343697,12.01029053,0.064369842,,5.640153885,7.484598541,0.041537423,,3.985013247,1.496919708,0.141537423
4,7.813168049,11.90943375,0.066806033,,8.273529053,11.5861969,0.056886971,,9.369060516,12.7815567,0.064494476,,5.511908054,8.004488373,0.037060276,,4.73080349,1.600897675,0.087060276
5,7.666624546,11.60610886,0.059507433,,7.721680641,11.9339859,0.048636131,,7.672163486,10.85631409,0.054404639,,5.62861824,7.585281372,0.027422946,,2.625747442,1.517056274,0.067422946
6,7.76768589,11.75040283,0.051933724,,7.168974876,11.3719696,0.044772297,,6.895503998,11.39758072,0.047713198,,3.892010212,5.190434647,0.02140622,,2.312517643,1.038086929,0.02140622
7,8.538876534,12.03448334,0.048420463,,8.947495461,10.87120285,0.043593638,,7.735616207,10.56192398,0.042889372,,3.455550432,4.748729324,0.016033595,,2.021103382,0.949745865,0.016033595
8,8.257840157,10.79382553,0.046756696,,9.227046013,11.23987885,0.040653344,,7.364180088,9.968323517,0.041145034,,3.835455656,4.507854843,0.012302919,,1.709556818,0.901570969,0.012302919
9,8.023352623,11.23472977,0.046509244,,8.197610855,10.79298782,0.03969378,,7.565967083,9.745735931,0.039978579,,3.013487339,3.49094429,0.009736688,,1.148362041,0.698188858,0.009736688
10,8.74769783,10.94534836,0.041342858,,8.016944885,10.25308838,0.036367476,,7.654109478,9.590918732,0.034927495,,2.64222455,2.920612335,0.00610942,,1.23393476,0.584122467,0.00610942
11,7.81776619,11.35341187,0.040665936,,7.82605505,11.18207169,0.034511395,,7.00966835,9.743467712,0.034318477,,2.236666679,3.020520782,0.00421768,,0.784784794,0.604104156,0.00421768
12,7.416629314,10.64567871,0.038705248,,8.010350227,10.67020111,0.033110328,,6.825494289,8.976667023,0.03112079,,1.962827921,2.378133583,0.002151676,,0.597090542,0.475626717,0.002151676
13,7.46744442,9.782804871,0.037649173,,7.397661686,10.06619873,0.031927694,,6.194362164,8.816213226,0.029888533,,1.549243808,2.077631569,0.000432097,,0.643510818,0.415526314,0.000432097
14,7.258199215,10.23390503,0.036377512,,7.643975258,10.30168915,0.031763472,,6.637702465,8.819810486,0.028368009,,1.797439575,1.96285038,8.91782E-05,,0.442624718,0.392570076,8.91782E-05
