"Step","Ehopper_Mno_relu_DS10000_W0.00095_lr0.01 - validation.prediction_error","Ehopper_Mno_relu_DS10000_W0.00095_lr0.01 - validation.prediction_error__MIN","Ehopper_Mno_relu_DS10000_W0.00095_lr0.01 - validation.prediction_error__MAX"
"0","0.34058678150177","0.34058678150177","0.34058678150177"
"1","0.17194171249866486","0.17194171249866486","0.17194171249866486"
"2","0.15782052278518677","0.15782052278518677","0.15782052278518677"
"3","0.1495753824710846","0.1495753824710846","0.1495753824710846"
"4","0.14537937939167023","0.14537937939167023","0.14537937939167023"
"5","0.14087332785129547","0.14087332785129547","0.14087332785129547"
"6","0.13406381011009216","0.13406381011009216","0.13406381011009216"
"7","0.13612213730812073","0.13612213730812073","0.13612213730812073"
"8","0.12716999650001526","0.12716999650001526","0.12716999650001526"
"9","0.1336119920015335","0.1336119920015335","0.1336119920015335"
"10","0.12378278374671936","0.12378278374671936","0.12378278374671936"
"11","0.12000589072704315","0.12000589072704315","0.12000589072704315"
"12","0.1202458068728447","0.1202458068728447","0.1202458068728447"
"13","0.12393086403608322","0.12393086403608322","0.12393086403608322"
"14","0.12659190595149994","0.12659190595149994","0.12659190595149994"
"15","0.11506937444210052","0.11506937444210052","0.11506937444210052"
"16","0.11833266913890839","0.11833266913890839","0.11833266913890839"
"17","0.1204940676689148","0.1204940676689148","0.1204940676689148"
"18","0.11468150466680527","0.11468150466680527","0.11468150466680527"
"19","0.11208546161651611","0.11208546161651611","0.11208546161651611"
"20","0.1205519512295723","0.1205519512295723","0.1205519512295723"
"21","0.1292952448129654","0.1292952448129654","0.1292952448129654"
"22","0.11381839960813522","0.11381839960813522","0.11381839960813522"
"23","0.11082986742258072","0.11082986742258072","0.11082986742258072"
"24","0.107526496052742","0.107526496052742","0.107526496052742"
"25","0.11586321890354156","0.11586321890354156","0.11586321890354156"
"26","0.11469987779855728","0.11469987779855728","0.11469987779855728"
"27","0.11113765090703964","0.11113765090703964","0.11113765090703964"
"28","0.11643300205469131","0.11643300205469131","0.11643300205469131"
"29","0.1067870706319809","0.1067870706319809","0.1067870706319809"
"30","0.11078814417123795","0.11078814417123795","0.11078814417123795"
"31","0.1046842560172081","0.1046842560172081","0.1046842560172081"
"32","0.11366795748472214","0.11366795748472214","0.11366795748472214"
"33","0.11348201334476471","0.11348201334476471","0.11348201334476471"
"34","0.112746961414814","0.112746961414814","0.112746961414814"
"35","0.10957638919353485","0.10957638919353485","0.10957638919353485"
"36","0.10800934582948685","0.10800934582948685","0.10800934582948685"
"37","0.11854372918605804","0.11854372918605804","0.11854372918605804"
"38","0.11498402804136276","0.11498402804136276","0.11498402804136276"
"39","0.1283596009016037","0.1283596009016037","0.1283596009016037"
"40","0.1019432544708252","0.1019432544708252","0.1019432544708252"
"41","0.11854133754968643","0.11854133754968643","0.11854133754968643"
"42","0.11022640019655228","0.11022640019655228","0.11022640019655228"
"43","0.11013128608465195","0.11013128608465195","0.11013128608465195"
"44","0.12218087911605835","0.12218087911605835","0.12218087911605835"
"45","0.12936139106750488","0.12936139106750488","0.12936139106750488"
"46","0.1054690033197403","0.1054690033197403","0.1054690033197403"
"47","0.11873369663953781","0.11873369663953781","0.11873369663953781"
"48","0.1113205999135971","0.1113205999135971","0.1113205999135971"
"49","0.10232465714216232","0.10232465714216232","0.10232465714216232"
"50","0.10339979827404022","0.10339979827404022","0.10339979827404022"
"51","0.11846742033958435","0.11846742033958435","0.11846742033958435"
"52","0.10623534023761749","0.10623534023761749","0.10623534023761749"
"53","0.10967457294464111","0.10967457294464111","0.10967457294464111"
