"Step","Eswimmer_Mnull_DS1000_W0.005_lr0.01 - train.NRC1","Eswimmer_Mnull_DS1000_W0.005_lr0.01 - train.NRC1__MIN","Eswimmer_Mnull_DS1000_W0.005_lr0.01 - train.NRC1__MAX"
"0","1.3790313324774761","1.3790313324774761","1.3790313324774761"
"1","1.5057587717557326","1.5057587717557326","1.5057587717557326"
"2","1.4195665370385542","1.4195665370385542","1.4195665370385542"
"3","1.3948328954657918","1.3948328954657918","1.3948328954657918"
"4","1.3677096852848771","1.3677096852848771","1.3677096852848771"
"5","1.3394378650277068","1.3394378650277068","1.3394378650277068"
"6","1.3172825870385858","1.3172825870385858","1.3172825870385858"
"7","1.2981160058294337","1.2981160058294337","1.2981160058294337"
"8","1.2844388930535788","1.2844388930535788","1.2844388930535788"
"9","1.2691430711758003","1.2691430711758003","1.2691430711758003"
"10","1.2468239447111265","1.2468239447111265","1.2468239447111265"
"11","1.2226235291818157","1.2226235291818157","1.2226235291818157"
"12","1.1993368459025078","1.1993368459025078","1.1993368459025078"
"13","1.1742290019323263","1.1742290019323263","1.1742290019323263"
"14","1.1466693712807172","1.1466693712807172","1.1466693712807172"
"15","1.1194735135376104","1.1194735135376104","1.1194735135376104"
"16","1.090404070141507","1.090404070141507","1.090404070141507"
"17","1.0625121915713536","1.0625121915713536","1.0625121915713536"
"18","1.0341267203362805","1.0341267203362805","1.0341267203362805"
"19","1.0052460857691623","1.0052460857691623","1.0052460857691623"
"20","0.9784942872604333","0.9784942872604333","0.9784942872604333"
"21","0.9521605915944711","0.9521605915944711","0.9521605915944711"
"22","0.9300020783645195","0.9300020783645195","0.9300020783645195"
"23","0.9045548894532877","0.9045548894532877","0.9045548894532877"
"24","0.8797249819189347","0.8797249819189347","0.8797249819189347"
"25","0.8561122308401536","0.8561122308401536","0.8561122308401536"
"26","0.8340047764583469","0.8340047764583469","0.8340047764583469"
"27","0.8114750193857035","0.8114750193857035","0.8114750193857035"
"28","0.7898844593466819","0.7898844593466819","0.7898844593466819"
"29","0.7699532585742418","0.7699532585742418","0.7699532585742418"
"30","0.7506076972391602","0.7506076972391602","0.7506076972391602"
"31","0.7317063798574381","0.7317063798574381","0.7317063798574381"
"32","0.716056371998453","0.716056371998453","0.716056371998453"
"33","0.7006779285336379","0.7006779285336379","0.7006779285336379"
"34","0.685025047993844","0.685025047993844","0.685025047993844"
"35","0.6697223298328608","0.6697223298328608","0.6697223298328608"
"36","0.6547708941657074","0.6547708941657074","0.6547708941657074"
"37","0.640598003967174","0.640598003967174","0.640598003967174"
"38","0.626829053046913","0.626829053046913","0.626829053046913"
"39","0.6127376500382125","0.6127376500382125","0.6127376500382125"
"40","0.6009681750461605","0.6009681750461605","0.6009681750461605"
"41","0.5884652493316717","0.5884652493316717","0.5884652493316717"
"42","0.5770625928823174","0.5770625928823174","0.5770625928823174"
"43","0.564991975949033","0.564991975949033","0.564991975949033"
"44","0.5541992630425703","0.5541992630425703","0.5541992630425703"
"45","0.5453095457866002","0.5453095457866002","0.5453095457866002"
"46","0.5348706058521202","0.5348706058521202","0.5348706058521202"
"47","0.5258025832877175","0.5258025832877175","0.5258025832877175"
"48","0.5169452134249477","0.5169452134249477","0.5169452134249477"
"49","0.5081175925878088","0.5081175925878088","0.5081175925878088"
"50","0.4995544042340807","0.4995544042340807","0.4995544042340807"
"51","0.49150027709317873","0.49150027709317873","0.49150027709317873"
"52","0.4826872393259291","0.4826872393259291","0.4826872393259291"
"53","0.475068671755158","0.475068671755158","0.475068671755158"
"54","0.4677178414745722","0.4677178414745722","0.4677178414745722"
"55","0.4603154666852788","0.4603154666852788","0.4603154666852788"
"56","0.45368436105572985","0.45368436105572985","0.45368436105572985"
"57","0.4474411732598819","0.4474411732598819","0.4474411732598819"
"58","0.44047936746650157","0.44047936746650157","0.44047936746650157"
"59","0.43513747695266286","0.43513747695266286","0.43513747695266286"
