2024-07-09 12:36:27,406 INFO    MainThread:2669001 [wandb_setup.py:_flush():76] Current SDK version is 0.17.3
2024-07-09 12:36:27,407 INFO    MainThread:2669001 [wandb_setup.py:_flush():76] Configure stats pid to 2669001
2024-07-09 12:36:27,407 INFO    MainThread:2669001 [wandb_setup.py:_flush():76] Loading settings from /home/se2422/.config/wandb/settings
2024-07-09 12:36:27,407 INFO    MainThread:2669001 [wandb_setup.py:_flush():76] Loading settings from /scratch/se2422/NRC-regularizations/wandb/settings
2024-07-09 12:36:27,407 INFO    MainThread:2669001 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-07-09 12:36:27,407 INFO    MainThread:2669001 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-07-09 12:36:27,407 INFO    MainThread:2669001 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main/exp/case1/regs.py', 'program_abspath': '/scratch/se2422/NRC-regularizations/main/exp/case1/regs.py', 'program': '/scratch/se2422/NRC-regularizations/main/exp/case1/regs.py'}
2024-07-09 12:36:27,407 INFO    MainThread:2669001 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-07-09 12:36:27,407 INFO    MainThread:2669001 [wandb_init.py:_log_setup():520] Logging user logs to /scratch/se2422/NRC-regularizations/wandb/run-20240709_123627-af1dac16-8589-4172-a6ff-71c790691b64/logs/debug.log
2024-07-09 12:36:27,407 INFO    MainThread:2669001 [wandb_init.py:_log_setup():521] Logging internal logs to /scratch/se2422/NRC-regularizations/wandb/run-20240709_123627-af1dac16-8589-4172-a6ff-71c790691b64/logs/debug-internal.log
2024-07-09 12:36:27,407 INFO    MainThread:2669001 [wandb_init.py:init():560] calling init triggers
2024-07-09 12:36:27,408 INFO    MainThread:2669001 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {'device': 'cpu', 'env': 'hopper', 'seed': 0, 'eval_freq': 100, 'max_epochs': 12000, 'checkpoints_path': None, 'load_model': '', 'batch_size': 256, 'num_eval_batch': 100, 'data_size': 10000, 'normalize': 'none', 'arch': '256-R-256-R-D-256|T', 'optimizer': 'sgd', 'regularization': 'dropout', 'dropout_probability': 0.2, 'lamH': -1, 'lamW': 0.01, 'lr': 0.01, 'mode': 'null', 'data_folder': './dataset/mujoco', 'project': 'NC_explore', 'group': 'reg-dropout', 'name': 'Ehopper_DS10000_wd0.01_Eps12000_Reg-dropout'}
2024-07-09 12:36:27,408 INFO    MainThread:2669001 [wandb_init.py:init():610] starting backend
2024-07-09 12:36:27,408 INFO    MainThread:2669001 [wandb_init.py:init():614] setting up manager
2024-07-09 12:36:27,409 INFO    MainThread:2669001 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-07-09 12:36:27,412 INFO    MainThread:2669001 [wandb_init.py:init():622] backend started and connected
2024-07-09 12:36:27,417 INFO    MainThread:2669001 [wandb_init.py:init():711] updated telemetry
2024-07-09 12:36:27,444 INFO    MainThread:2669001 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-07-09 12:36:28,083 INFO    MainThread:2669001 [wandb_run.py:_on_init():2402] communicating current version
2024-07-09 12:36:28,145 INFO    MainThread:2669001 [wandb_run.py:_on_init():2411] got version response upgrade_message: "wandb version 0.17.4 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-07-09 12:36:28,145 INFO    MainThread:2669001 [wandb_init.py:init():795] starting run threads in backend
2024-07-09 12:36:31,496 INFO    MainThread:2669001 [wandb_run.py:_console_start():2380] atexit reg
2024-07-09 12:36:31,496 INFO    MainThread:2669001 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2024-07-09 12:36:31,497 INFO    MainThread:2669001 [wandb_run.py:_redirect():2300] Wrapping output streams.
2024-07-09 12:36:31,497 INFO    MainThread:2669001 [wandb_run.py:_redirect():2325] Redirects installed.
2024-07-09 12:36:31,500 INFO    MainThread:2669001 [wandb_init.py:init():838] run started, returning control to user process
