2024-07-09 12:41:38,602 INFO    MainThread:2669472 [wandb_setup.py:_flush():76] Current SDK version is 0.17.3
2024-07-09 12:41:38,603 INFO    MainThread:2669472 [wandb_setup.py:_flush():76] Configure stats pid to 2669472
2024-07-09 12:41:38,603 INFO    MainThread:2669472 [wandb_setup.py:_flush():76] Loading settings from /home/se2422/.config/wandb/settings
2024-07-09 12:41:38,603 INFO    MainThread:2669472 [wandb_setup.py:_flush():76] Loading settings from /scratch/se2422/NRC-regularizations/wandb/settings
2024-07-09 12:41:38,603 INFO    MainThread:2669472 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-07-09 12:41:38,603 INFO    MainThread:2669472 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-07-09 12:41:38,603 INFO    MainThread:2669472 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main/exp/case1/regs.py', 'program_abspath': '/scratch/se2422/NRC-regularizations/main/exp/case1/regs.py', 'program': '/scratch/se2422/NRC-regularizations/main/exp/case1/regs.py'}
2024-07-09 12:41:38,603 INFO    MainThread:2669472 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-07-09 12:41:38,603 INFO    MainThread:2669472 [wandb_init.py:_log_setup():520] Logging user logs to /scratch/se2422/NRC-regularizations/wandb/run-20240709_124138-951366ac-16f5-42d3-8e3f-4da57e2e352d/logs/debug.log
2024-07-09 12:41:38,604 INFO    MainThread:2669472 [wandb_init.py:_log_setup():521] Logging internal logs to /scratch/se2422/NRC-regularizations/wandb/run-20240709_124138-951366ac-16f5-42d3-8e3f-4da57e2e352d/logs/debug-internal.log
2024-07-09 12:41:38,604 INFO    MainThread:2669472 [wandb_init.py:init():560] calling init triggers
2024-07-09 12:41:38,604 INFO    MainThread:2669472 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {'device': 'cpu', 'env': 'hopper', 'seed': 0, 'eval_freq': 100, 'max_epochs': 12000, 'checkpoints_path': None, 'load_model': '', 'batch_size': 256, 'num_eval_batch': 100, 'data_size': 10000, 'normalize': 'none', 'arch': '256-R-256-R-256|T', 'optimizer': 'sgd', 'regularization': 'l1', 'dropout_probability': 0.2, 'lamH': -1, 'lamW': 0.01, 'lr': 0.01, 'mode': 'null', 'data_folder': './dataset/mujoco', 'project': 'NC_explore', 'group': 'reg-l1', 'name': 'Ehopper_DS10000_wd0.01_Eps12000_Reg-l1'}
2024-07-09 12:41:38,604 INFO    MainThread:2669472 [wandb_init.py:init():610] starting backend
2024-07-09 12:41:38,604 INFO    MainThread:2669472 [wandb_init.py:init():614] setting up manager
2024-07-09 12:41:38,606 INFO    MainThread:2669472 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-07-09 12:41:38,607 INFO    MainThread:2669472 [wandb_init.py:init():622] backend started and connected
2024-07-09 12:41:38,613 INFO    MainThread:2669472 [wandb_init.py:init():711] updated telemetry
2024-07-09 12:41:38,634 INFO    MainThread:2669472 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-07-09 12:41:39,197 INFO    MainThread:2669472 [wandb_run.py:_on_init():2402] communicating current version
2024-07-09 12:41:39,251 INFO    MainThread:2669472 [wandb_run.py:_on_init():2411] got version response upgrade_message: "wandb version 0.17.4 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-07-09 12:41:39,252 INFO    MainThread:2669472 [wandb_init.py:init():795] starting run threads in backend
2024-07-09 12:41:42,463 INFO    MainThread:2669472 [wandb_run.py:_console_start():2380] atexit reg
2024-07-09 12:41:42,464 INFO    MainThread:2669472 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2024-07-09 12:41:42,464 INFO    MainThread:2669472 [wandb_run.py:_redirect():2300] Wrapping output streams.
2024-07-09 12:41:42,464 INFO    MainThread:2669472 [wandb_run.py:_redirect():2325] Redirects installed.
2024-07-09 12:41:42,466 INFO    MainThread:2669472 [wandb_init.py:init():838] run started, returning control to user process
